=== INFORME DE SANITIZACIÓN DE BASE DE DATOS ===
[Tabla_Verdad_Estudiantes.nombre_completo_del_padre] Reemplazado '├ì' por 'Í' -> 22 filas actualizadas.
[Tabla_Verdad_Estudiantes.nombre_completo_del_padre] Reemplazado '├®' por 'é' -> 2248 filas actualizadas.
[Tabla_Verdad_Estudiantes.nombre_completo_del_padre] Reemplazado '├æ' por 'Ñ' -> 30 filas actualizadas.
[Tabla_Verdad_Estudiantes.nombre_completo_del_padre] Reemplazado '├ü' por 'Á' -> 39 filas actualizadas.
[Tabla_Verdad_Estudiantes.nombre_completo_del_padre] Reemplazado '├ë' por 'É' -> 1171 filas actualizadas.
[Tabla_Verdad_Estudiantes.nombre_completo_del_padre] Reemplazado '├ô' por 'Ó' -> 20 filas actualizadas.
[Tabla_Verdad_Estudiantes.nombre_completo_del_padre] Reemplazado '├£' por 'Ü' -> 1 filas actualizadas.
[Tabla_Verdad_Estudiantes.nombre_completo_del_padre] Reemplazado '├Ü' por 'Ú' -> 6 filas actualizadas.
[Tabla_Verdad_Estudiantes.email_del_papa] Reemplazado '├¡' por 'í' -> 1 filas actualizadas.
[Tabla_Verdad_Estudiantes.email_del_papa] Reemplazado '├│' por 'ó' -> 1 filas actualizadas.
[Tabla_Verdad_Estudiantes.tipo_de_documento] Reemplazado '├¡' por 'í' -> 7709 filas actualizadas.
[Tabla_Verdad_Estudiantes.tipo_de_documento] Reemplazado '├®' por 'é' -> 7709 filas actualizadas.
[Tabla_Verdad_Estudiantes.nombre_completo_de_la_mama] Reemplazado '├¡' por 'í' -> 3372 filas actualizadas.
[Tabla_Verdad_Estudiantes.nombre_completo_de_la_mama] Reemplazado '├ì' por 'Í' -> 51 filas actualizadas.
[Tabla_Verdad_Estudiantes.nombre_completo_de_la_mama] Reemplazado '├®' por 'é' -> 1124 filas actualizadas.
[Tabla_Verdad_Estudiantes.nombre_completo_de_la_mama] Reemplazado '├æ' por 'Ñ' -> 27 filas actualizadas.
[Tabla_Verdad_Estudiantes.nombre_completo_de_la_mama] Reemplazado '├ü' por 'Á' -> 34 filas actualizadas.
[Tabla_Verdad_Estudiantes.nombre_completo_de_la_mama] Reemplazado '├ë' por 'É' -> 20 filas actualizadas.
[Tabla_Verdad_Estudiantes.nombre_completo_de_la_mama] Reemplazado '├ô' por 'Ó' -> 1151 filas actualizadas.
[Tabla_Verdad_Estudiantes.nombre_completo_de_la_mama] Reemplazado '├Ü' por 'Ú' -> 1 filas actualizadas.
[Tabla_Verdad_Estudiantes.tipo_de_documento_2] Reemplazado '├¡' por 'í' -> 498 filas actualizadas.
